top	left	bottom	right	slug	name	iso	woeid
-25.1567115784	-72.1335296631	-46.0002861023	-63.5871162415	56043540	America/Argentina/Catamarca	AR	56043540
-22.4624710083	-65.7672271729	-35.0022277832	-53.591835022	56043541	America/Argentina/Cordoba	AR	56043541
-21.7812767029	-67.2326660156	-24.6150016785	-64.1580657959	56043542	America/Argentina/Jujuy	AR	56043542
-27.7355575562	-69.6315383911	-31.9369468689	-65.1276092529	56043543	America/Argentina/La_Rioja	AR	56043543
-31.9547233582	-70.5791931152	-37.5654067993	-66.5016784668	56043544	America/Argentina/Mendoza	AR	56043544
-45.9994506836	-73.5829696655	-52.4001464844	-65.7152328491	56043545	America/Argentina/Rio_Gallegos	AR	56043545
-22.0025939941	-71.946685791	-42.0087280273	-62.3338928223	56043546	America/Argentina/Salta	AR	56043546
-28.4099845886	-70.5617752075	-32.3985290527	-66.7304840088	56043547	America/Argentina/San_Juan	AR	56043547
-31.8466682434	-67.3972320557	-36.0023269653	-64.8736114502	56043548	America/Argentina/San_Luis	AR	56043548
-26.0722236633	-66.2189025879	-28.054725647	-64.4808349609	56043549	America/Argentina/Tucuman	AR	56043549
-52.6653747559	-68.6132049561	-55.0613136292	-63.8069610596	56043550	America/Argentina/Ushuaia	AR	56043550
-33.2567443848	-63.3897247314	-41.0357322693	-56.6690330505	56043551	America/Argentina/Buenos_Aires	AR	56043551
