top	left	bottom	right	slug	name	iso	woeid
-25.9984169006	128.989868164	-38.064666748	141.004257202	28350877	Australia/Adelaide	AU	28350877
-9.18213844299	137.994949341	-29.1843338013	153.553115845	28350878	Australia/Brisbane	AU	28350878
-10.9028606415	128.995895386	-26.0067214966	138.002716064	28350879	Australia/Darwin	AU	28350879
-39.4425544739	144.337646484	-43.6439704895	148.480560303	28350880	Australia/Hobart	AU	28350880
-20.0393619537	148.873947144	-20.4604167938	149.064468384	28350881	Australia/Lindeman	AU	28350881
-31.5107498169	159.045700073	-31.5973339081	159.111282349	28350882	Australia/Lord_Howe	AU	28350882
-34.00963974	140.954559326	-39.4835014343	149.977966309	28350883	Australia/Melbourne	AU	28350883
-13.7348890305	112.911056519	-35.1909446716	129.005859375	28350884	Australia/Perth	AU	28350884
-28.1601104736	140.999801636	-37.5053329468	153.639251709	28350885	Australia/Sydney	AU	28350885
-31.4944950697	140.999944946	-32.2923252086	141.957197926	56043537	Australia/Broken_Hill	AU	56043537
-31.3	125.5	-32.5647263904	128.993177204	56043538	Australia/Eucla	AU	56043538
-39.5813064575	143.817611694	-40.1588134766	144.138580322	56043539	Australia/Currie	AU	56043539
