top	left	bottom	right	slug	name	iso	woeid
57.4642	-123.818	53.7987	-119.998635882	28350751	America/Dawson_Creek	CA	28350751
60.3726768494	-67.8165054321	51.595375061	-56.2764625549	56043673	America/Goose_Bay	CA	56043673
60.0	-102.5	48.2292976379	-88.5	56043674	America/Winnipeg	CA	56043674
51.5922619357	-61.7973175049	50.0813484192	-57.0968170166	56043675	America/Blanc-Sablon	CA	56043675
79.4203567505	-121.968559265	64.2794189453	-89.0	56043676	America/Cambridge_Bay	CA	56043676
64.0744015878	-139.458483025	64.042936412	-139.3616436	56043677	America/Dawson	CA	56043677
69.6447677612	-141.0	60.0	-124.00138092	56043678	America/Whitehorse	CA	56043678
62.5851821899	-79.7654266357	44.9933204651	-57.1000326363	56043679	America/Montreal	CA	56043679
49.0	-92.2672	48.0405117713	-89.9963749864	56043680	America/Atikokan	CA	56043680
75.6427459717	-96.6209640503	74.6282653809	-93.3935012817	56043681	America/Resolute	CA	56043681
53.6835823059	-59.422958374	46.6143302917	-52.6362915039	56043682	America/St_Johns	CA	56043682
46.3411521912	-60.8082847595	45.7286671403	-59.6925621033	56043683	America/Glace_Bay	CA	56043683
48.1135	-69.0543136597	44.5674819946	-63.7779464722	56043684	America/Moncton	CA	56043684
47.808757782	-66.3918609619	43.3918418884	-59.7247390747	56043685	America/Halifax	CA	56043685
50.3101560636	-107.829110438	50.2592200244	-107.758044175	56043686	America/Swift_Current	CA	56043686
60.0	-110.0	48.9903030396	-101.359550476	56043687	America/Regina	CA	56043687
48.7313621479	-94.5900039509	48.7141455168	-94.5486775449	56043688	America/Rainy_River	CA	56043688
60.0	-120.0	48.9953575134	-108.8189	56043689	America/Edmonton	CA	56043689
60.0	-139.053222656	48.3078651428	-116.4299	56043690	America/Vancouver	CA	56043690
78.7609558105	-136.441970825	60.0	-102.00819397	56043691	America/Yellowknife	CA	56043691
68.4169743187	-133.794362139	68.293019355	-133.37883265	56043692	America/Inuvik	CA	56043692
83.1106262207	-85.0	51.1736030579	-68.0	56043693	America/Iqaluit	CA	56043693
82.9648208618	-68.0	58.2822723389	-61.1348114014	56043694	America/Pangnirtung	CA	56043694
49.0392538985	-88.4329978056	48.9502214081	-88.2344849192	56043695	America/Nipigon	CA	56043695
48.5156924163	-89.4278491448	48.2894245016	-89.1187057495	56043696	America/Thunder_Bay	CA	56043696
56.8591690063	-91.0	41.7082939148	-74.3229904175	56043697	America/Toronto	CA	56043697
82.4795608521	-102.00819397	56.7431221008	-85.0	56043698	America/Rankin_Inlet	CA	56043698
