top	left	bottom	right	slug	name	iso	woeid
64.3008117676	95.6519317627	49.953414917	119.135536194	28350829	Asia/Irkutsk	RU	28350829
81.265335083	76.1140518188	49.7566947937	113.919746399	28350837	Asia/Krasnoyarsk	RU	28350837
72.331413269	138.903103279	43.3596382141	163.466064453	28350841	Asia/Magadan	RU	28350841
74.684387207	105.520828247	48.8524169922	135.843165592	28350865	Asia/Yakutsk	RU	28350865
73.5260543823	50.7716407776	50.5144729614	86.0310974121	28350866	Asia/Yekaterinburg	RU	28350866
55.2906684875	19.6381664276	54.3206939697	22.8928050995	28350900	Europe/Kaliningrad	RU	28350900
58.5463867188	47.9419326782	51.7691802979	54.4026794434	28350915	Europe/Samara	RU	28350915
61.0491638184	75.0541534424	53.3480873108	89.4038696289	56043607	Asia/Novosibirsk	RU	56043607
58.5811080933	70.3276748657	49.0830841064	89.8699798584	56043608	Asia/Omsk	RU	56043608
77.0063858032	130.043769876	42.2836112976	158.150497437	56043609	Asia/Vladivostok	RU	56043609
54.4158592224	141.195388794	45.8893051147	144.751586914	56043610	Asia/Sakhalin	RU	56043610
71.6120910645	-179.9999	61.8098335266	179.9999	56043611	Asia/Anadyr	RU	56043611
64.9399719238	155.546585083	50.8691673279	174.51361084	56043612	Asia/Kamchatka	RU	56043612
61.0644378662	41.1563796997	45.172832489	53.9283294678	56043613	Europe/Volgograd	RU	56043613
81.8573608398	26.9453048706	41.1888618469	78.9705276489	56043614	Europe/Moscow	RU	56043614
