top	left	bottom	right	slug	name	iso	woeid
57.2473831177	-179.14125061	51.2162322998	179.778488159	28350731	America/Adak	US	28350731
26.0745410919	-173.969055176	18.913684845	-154.809936523	28350949	Pacific/Honolulu	US	28350949
36.9978218079	-85.0640106201	36.6061019897	-84.575843811	56043646	America/Kentucky/Monticello	US	56043646
38.6071166992	-86.3313598633	37.9586105347	-85.414855957	56043647	America/Kentucky/Louisville	US	56043647
47.4586486816	-86.4893341064	19.8940849304	-66.9548110962	56043648	America/New_York	US	56043648
38.9103546143	-87.7538909912	38.2062644958	-86.6798858643	56043649	America/Indiana/Vincennes	US	56043649
41.4338798523	-86.9308700562	41.1711196899	-86.4663467407	56043650	America/Indiana/Knox	US	56043650
41.1727828979	-86.9309539795	40.9093322754	-86.4665298462	56043651	America/Indiana/Winamac	US	56043651
38.4224967957	-86.6814346313	38.104888916	-86.2457580566	56043652	America/Indiana/Marengo	US	56043652
38.9295959473	-85.2034072876	38.687789917	-84.7876739502	56043653	America/Indiana/Vevay	US	56043653
38.2644462585	-86.8206100464	37.8401641846	-86.4309844971	56043654	America/Indiana/Tell_City	US	56043654
38.552520752	-87.4642028809	38.2319488525	-87.0722579956	56043655	America/Indiana/Petersburg	US	56043655
41.7623214722	-87.6551818848	38.3971138	-84.8022613525	56043656	America/Indiana/Indianapolis	US	56043656
46.7676053099	-90.4146385703	45.0994033813	-87.2676315308	56043657	America/Menominee	US	56043657
48.2345199585	-89.8760474765	41.6958007812	-82.4078216553	56043658	America/Detroit	US	56043658
47.2952842712	-101.763671875	46.9818153381	-100.879516602	56043659	America/North_Dakota/Center	US	56043659
46.9825744629	-102.096992493	46.2756118774	-100.543212891	56043660	America/North_Dakota/New_Salem	US	56043660
49.3886108398	-104.983027455	25.8355484009	-84.6595306396	56043661	America/Chicago	US	56043661
46.0382118225	-118.236198425	41.9898376465	-111.043617249	56043662	America/Boise	US	56043662
49.0028915405	-124.733253479	32.5346221924	-114.039344788	56043663	America/Los_Angeles	US	56043663
37.461	-111.862	33.475	-108.252	56043664	America/Shiprock	US	56043664
49.0007705688	-116.050735474	30.6282547343	-100.260871887	56043665	America/Denver	US	56043665
37.0042610168	-114.814613342	31.3288078308	-109.04574585	56043666	America/Phoenix	US	56043666
59.8000183105	-137.936211558	57.0147399902	-132.364608765	56043667	America/Juneau	US	56043667
60.3519897461	-141.0	58.8052062159	-137.492721558	56043668	America/Yakutat	US	56043668
71.3906555176	-162.0	54.7515106201	-140.992218018	56043669	America/Anchorage	US	56043669
70.2981440317	-173.110031128	53.8522872925	-162.0	56043670	America/Nome	US	56043670
